frontend-dapr-1  | time="2025-08-22T14:20:29.449040843Z" level=info msg="Starting Dapr Runtime -- version 1.12.0 -- commit 2149fca96cdf11627c387bda26dcc027d1c47354" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.449058968Z" level=info msg="Log level set to: info" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.449156051Z" level=warning msg="mTLS is disabled. Skipping certificate request and tls validation" app_id=frontend instance=ed6effe342dc scope=dapr.runtime.security type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.450621051Z" level=info msg="loading default configuration" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.454884051Z" level=info msg="metrics server started on :9090/" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.455624426Z" level=info msg="standalone mode configured" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.455645093Z" level=info msg="app id: frontend" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.455702426Z" level=info msg="Dapr trace sampler initialized: DaprTraceSampler(P=0.000100)" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.455912301Z" level=info msg="local service entry announced: frontend -> 172.27.0.8:48486" app_id=frontend component="mdns (nameResolution/v1)" instance=ed6effe342dc scope=dapr.contrib type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.455942468Z" level=info msg="Initialized name resolution to mdns" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.456029301Z" level=info msg="Loading components…" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.458650135Z" level=info msg="Waiting for all outstanding components to be processed…" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.460968718Z" level=info msg="Component loaded: pubsub (pubsub.redis/v1)" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.460987301Z" level=info msg="All outstanding components processed" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.460991968Z" level=info msg="Loading endpoints…" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.463714635Z" level=info msg="Waiting for all outstanding http endpoints to be processed…" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.463754468Z" level=info msg="All outstanding http endpoints processed" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
